id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
59e9c02d-11f9-4c17-a5ae-3802727a3601,2021,Balance general,Activos biológicos LP,0.0,0,millones COP,false
fcea8413-e1d6-4268-8651-53317d6a5f81,2022,Balance general,Activos biológicos LP,0.0,0,millones COP,false
5629be7e-f7f6-4ba3-833f-a9715dd49d8a,2023,Balance general,Activos biológicos LP,0.0,0,millones COP,false
d79be24a-33b4-4908-8877-3ab32a2f111b,2024,Balance general,Activos biológicos LP,0.0,0,millones COP,false
c4c9ab15-e5c6-45d6-94dd-951e41c6dac9,2019,Balance general,Intercompanies,95178.0,95.178,millones COP,false
bec25256-c5a6-430e-8c01-90723ca34675,2020,Balance general,Intercompanies,80907.0,80.907,millones COP,false
dd150854-4b0c-4ee5-bbe0-b26270951747,2021,Balance general,Intercompanies,81513.0,81.513,millones COP,false
c7a9abe1-4dbc-4ef9-bbbf-bb2fb6e5d840,2022,Balance general,Intercompanies,105915.0,105.915,millones COP,false
1ed02caf-7950-4711-9d43-e30c80c7cb5d,2023,Balance general,Intercompanies,110631.0,110.631,millones COP,false
14dd17c2-60cb-4a06-81ab-23bf82806762,2024,Balance general,Intercompanies,119719.0,119.719,millones COP,false
b0990ac9-82c6-4f96-9fa6-efaf0f3a011b,2019,Balance general,Otras CxC no corrientes,8123.0,8.123,millones COP,false
8f61aa36-232d-4eda-84ff-66308d14aaca,2020,Balance general,Otras CxC no corrientes,16287.0,16.287,millones COP,false
b3b737c9-73ff-4c96-8bdc-fc1e46b30afb,2021,Balance general,Otras CxC no corrientes,27160.0,27.160,millones COP,false
d678b31b-c9b9-478c-873c-16250770302e,2022,Balance general,Otras CxC no corrientes,18267.0,18.267,millones COP,false
082d2732-4711-43fa-8034-6773de6ba67e,2023,Balance general,Otras CxC no corrientes,16713.0,16.713,millones COP,false
f0ce9bcc-d1f8-4c1f-b3b7-cf7601e65a16,2024,Balance general,Otras CxC no corrientes,22102.0,22.102,millones COP,false
a2a4232e-2cf1-484c-9169-891f4b72fa4b,2019,Balance general,Otros activos no corrientes,602.0,602,millones COP,false
f4bc73f7-9610-47df-b5d7-be19b98434ff,2020,Balance general,Otros activos no corrientes,0.0,0,millones COP,false
3fedcf89-b48c-4a3a-94de-717c6b70a630,2021,Balance general,Otros activos no corrientes,0.0,0,millones COP,false
9bfceab2-10e2-4fc7-ab4e-5ada5601ad6e,2022,Balance general,Otros activos no corrientes,0.0,0,millones COP,false
5e925f81-1074-4531-b96f-f0877d8b18f6,2023,Balance general,Otros activos no corrientes,34876.0,34.876,millones COP,false
becc7666-2c11-4e36-b8e4-6d10770ba0b5,2024,Balance general,Otros activos no corrientes,884.0,884,millones COP,false
